Wafer_ID,Batch_ID,Timestamp,Chamber_Vacuum_Torr,Gas_Flow_SiH4_sccm,RF_Reflected_Power_W,Plasma_Density_e11_cm3,Etch_Rate_A_min,CMP_Pad_Wear_um,Deposition_Temp_C,Photolitho_Dose_mJ_cm2,Leakage_Current_uA,Chamber_Pressure_mTorr,Wafer_Thickness_um,Wafer_Bow_um,Gate_Oxide_Thickness_A,Particle_Count_10nm,Wafer_Resistivity_Ohm_cm,Yield_Status
WFR-1011,FAB-BATCH-101,01-08-2026 12:40,1.2315,144.86,448.88,11.669,2197.7,23.99,352.73,23.73,0.0427,11.88,774.17,11.15,46.35,17,1.962,0
WFR-1012,FAB-BATCH-101,01-08-2026 13:08,1.2314,149.13,465.91,13.24,2217.9,25.86,339.61,24.5,0.0595,11.76,778.89,11.01,47.44,16,1.918,0
WFR-1013,FAB-BATCH-101,01-08-2026 13:36,1.2597,146.77,434.55,12.088,2208,22.03,329.83,24.42,0.0422,11.13,777.31,12.41,47.48,17,1.757,0
WFR-1014,FAB-BATCH-101,01-08-2026 14:04,1.1735,141.6,433.23,11.845,2243.8,21.22,351.19,23.37,0.0602,12.17,777.87,12.6,44.2,12,1.916,0
WFR-1015,FAB-BATCH-101,01-08-2026 14:32,1.181,149.63,443,12.375,2219.2,20.35,348.29,24.63,0.0502,12.07,777.05,12.51,44.72,14,1.861,0
WFR-1016,FAB-BATCH-101,01-08-2026 15:00,1.2275,149.45,462.46,11.861,2165.5,24.19,342.18,25.27,0.0437,11.24,777.37,13.31,44.38,13,1.749,0
WFR-1017,FAB-BATCH-101,01-08-2026 15:28,1.2095,156.81,431.77,12.208,2287.1,27.37,336.39,23.6,0.0574,12.23,773.28,12.24,43.99,12,1.648,0
WFR-1018,FAB-BATCH-101,01-08-2026 15:56,1.2626,152.84,416.01,12.741,2207.8,23.86,344.12,25.52,0.0413,11.75,774.5,13.18,42.24,18,1.882,0
WFR-1019,FAB-BATCH-101,01-08-2026 16:24,1.2137,145.39,444.59,12.744,2194.1,20.14,348.44,23.25,0.0577,13.35,772.53,12.33,44.98,17,1.771,0
WFR-1020,FAB-BATCH-101,01-08-2026 16:52,1.1935,158.34,456.62,11.872,2238.6,26.79,355.33,26.19,0.0526,11.72,774.47,14.69,43.07,16,1.959,0
WFR-1021,FAB-BATCH-101,01-08-2026 17:20,1.3086,155.49,464.4,12.159,2210,27.97,351.51,24.17,0.0428,11.78,776.71,12.6,44.95,15,1.851,0
WFR-1022,FAB-BATCH-101,01-08-2026 17:48,1.241,152.62,444.44,13.252,2216,23.38,362.86,24.62,0.0563,11.56,775.34,15.31,48.17,13,1.78,0
WFR-1023,FAB-BATCH-101,01-08-2026 18:16,1.2527,148.98,445.06,12.847,2299.7,27.45,341.72,22.99,0.0566,12.64,778.28,12.92,44.24,7,2.03,0
WFR-1024,FAB-BATCH-101,01-08-2026 18:44,1.193,145.68,463.85,13.953,2189,28.55,357.05,24.45,0.0639,11.81,772.15,12.24,45.29,13,1.908,0
WFR-1025,FAB-BATCH-101,01-08-2026 19:12,1.2282,148.33,427.56,13.326,2187.3,28.05,350.38,24.68,0.0616,11.64,776.25,11.42,46.36,20,1.484,0
WFR-1026,FAB-BATCH-101,01-08-2026 19:40,1.2544,154.9,445.34,13.301,2204.7,27.17,355.56,24.43,0.0559,12.35,771.88,10.77,45.42,16,1.801,0
WFR-1027,FAB-BATCH-101,01-08-2026 20:08,1.204,158.48,452.29,11.528,2242.9,31.33,346.51,24.05,0.0365,11.31,775.24,11.31,45.44,15,1.712,0
WFR-1028,FAB-BATCH-101,01-08-2026 20:36,1.265,156.94,455.39,13.035,2139.7,29.04,358.57,23.74,0.0794,12.31,776.85,11.44,44.46,13,1.77,0
WFR-1029,FAB-BATCH-101,01-08-2026 21:04,1.226,147.8,443.88,12.463,2121.4,27.43,352.36,25.4,0.0332,12.89,774.46,12.97,44.65,15,1.836,0
WFR-1030,FAB-BATCH-101,01-08-2026 21:32,1.2383,144.96,450.41,12.114,2176.5,26.85,344.56,24.52,0.0614,12.28,776.38,11.87,43.56,17,1.885,0
WFR-1031,FAB-BATCH-101,01-08-2026 22:00,1.2259,150.63,420.14,12.618,2134.6,34.02,349.9,25.73,0.0552,12.32,772.6,12.72,46.27,14,1.876,0
WFR-1032,FAB-BATCH-101,01-08-2026 22:28,1.3241,142.04,442.1,13.162,2183,33.28,348.08,24.08,0.0359,12.44,770.84,14.04,42.39,17,1.958,0
WFR-1033,FAB-BATCH-101,01-08-2026 22:56,1.2495,151.45,455.44,12.851,2220.1,32.78,353.91,24.15,0.0485,12.85,776.39,12.39,46.46,17,1.914,0
WFR-1034,FAB-BATCH-101,01-08-2026 23:24,1.2077,149.34,438.21,11.885,2164.4,32.27,340.56,25.15,0.0491,12.6,779.36,14.99,42.89,12,1.907,0
WFR-1035,FAB-BATCH-101,01-08-2026 23:52,1.2829,147.9,450.71,13.02,2142.9,32.64,349.77,23.2,0.0657,12.22,772.51,11.09,46.44,20,1.87,0
WFR-1036,FAB-BATCH-101,02-08-2026 00:20,1.2012,142.82,455.36,12.054,2202.8,32.1,353.16,23.53,0.0414,12.45,778.06,12.32,44.47,20,1.979,0
WFR-1037,FAB-BATCH-101,02-08-2026 00:48,1.2584,152.31,445.89,12.652,2234.5,33.94,350.26,25.38,0.0469,11.56,775.11,11.85,43.15,21,1.818,0
WFR-1038,FAB-BATCH-101,02-08-2026 01:16,1.1716,147.6,452.05,12.288,2132.2,31.11,360.78,23.56,0.022,12.39,771.66,13.62,45.87,15,1.821,0
WFR-1039,FAB-BATCH-101,02-08-2026 01:44,1.1969,144.74,438.45,12.347,2232.8,34.43,356.19,23.04,0.0708,11.5,772.17,9.81,46.39,13,1.659,0
WFR-1040,FAB-BATCH-101,02-08-2026 02:12,1.2579,137.07,447.52,13.036,2232.7,35.83,349.94,25.99,0.0372,11.82,775.04,10.77,44.34,19,1.956,0
WFR-1041,FAB-BATCH-101,02-08-2026 02:40,1.2795,149.88,457.32,11.772,2238.2,38.22,351.73,23.38,0.0539,10.46,773.99,12.37,46.08,15,1.842,0
WFR-1042,FAB-BATCH-101,02-08-2026 03:08,1.2569,157.98,451.88,13.862,2248.7,37.47,352.37,24.65,0.0488,12.2,771.72,14.36,41.57,9,2.143,0
WFR-1043,FAB-BATCH-101,02-08-2026 03:36,1.2454,157.48,442.96,11.225,2288.1,39.69,353.23,24.56,0.0488,11.68,770.76,12.77,43.02,16,1.809,0
WFR-1044,FAB-BATCH-101,02-08-2026 04:04,1.238,147.94,452.69,12.082,2185.8,41.35,335.39,22.25,0.0597,12.56,772.88,10.88,46.94,12,1.859,0
WFR-1045,FAB-BATCH-101,02-08-2026 04:32,1.1909,147.29,458.58,12.759,2204.4,41.32,347.59,24.29,0.0701,12.2,775.48,11.06,44.66,9,1.905,0
WFR-1046,FAB-BATCH-101,02-08-2026 05:00,1.2212,152.11,425.4,12.909,2183.3,40.69,338.12,24.86,0.053,12.56,774.98,14.51,42.21,7,1.74,0
WFR-1047,FAB-BATCH-101,02-08-2026 05:28,1.2316,145.51,463.91,12.43,2200.1,40.32,360.23,24.78,0.0579,11.46,773.75,11.75,43.95,16,1.886,0
WFR-1048,FAB-BATCH-101,02-08-2026 05:56,1.2923,151.36,445.96,12.46,2261.3,38.89,349.51,25.22,0.0539,12.52,775.5,11.37,43.61,18,1.853,0
WFR-1049,FAB-BATCH-101,02-08-2026 06:24,1.2637,153.45,455.11,12.787,2146.2,42.88,348.45,24.19,0.0622,13.05,777.6,14.27,44.75,10,1.82,0
WFR-1050,FAB-BATCH-101,02-08-2026 06:52,1.1795,155.52,464.37,12.338,2165.6,45.31,357.17,25.07,0.0444,12.38,775.99,13.71,44.44,18,1.967,0
WFR-1051,FAB-BATCH-101,02-08-2026 07:20,1.263,149.55,433.54,13.475,2255.1,43.18,353.38,23.95,0.0629,12.4,774.7,14.03,45.27,12,1.76,0
WFR-1052,FAB-BATCH-101,02-08-2026 07:48,1.2346,149.08,441.49,13.088,2240.8,46.88,340.97,23.37,0.0633,12.08,777.32,11.36,44.9,18,1.877,0
WFR-1053,FAB-BATCH-101,02-08-2026 08:16,1.2229,146.05,446.54,13.111,2185.5,40.55,349.43,23.46,0.063,11.74,772.6,10.67,47.04,10,1.995,0
WFR-1054,FAB-BATCH-101,02-08-2026 08:44,1.2745,146.28,440.59,11.824,2234.2,41.84,347.32,23.33,0.0421,12.38,774.44,12.66,45.64,10,1.779,0
WFR-1055,FAB-BATCH-101,02-08-2026 09:12,1.2912,148.98,470.82,12.444,2213.6,46.41,336.04,25.31,0.048,11.25,774.5,12.9,45.69,16,1.82,0
WFR-1056,FAB-BATCH-101,02-08-2026 09:40,1.2873,151.65,439.72,12.29,2260,45.78,344.48,23.29,0.0529,11.79,771.91,12.94,46.75,10,2.085,0
WFR-1057,FAB-BATCH-101,02-08-2026 10:08,1.2164,154.11,443.33,11.796,2203,48.43,348.53,24.72,,11.11,773.95,14.27,44.42,8,1.897,0
WFR-1058,FAB-BATCH-101,02-08-2026 10:36,1.2376,146.39,452.45,12.752,2241,46.32,349.08,24.29,0.0691,11.65,769.81,10.42,43.11,15,1.799,0
WFR-1059,FAB-BATCH-101,02-08-2026 11:04,1.2633,156.72,435.57,12.124,2305.7,45.16,338.14,24.42,0.0499,12.32,779.78,13.53,46.81,16,1.93,0
WFR-1060,FAB-BATCH-101,02-08-2026 11:32,1.289,148.78,445.25,12.959,2223.9,47.02,359.21,25.59,0.0534,12.25,772.66,11.18,45.2,10,1.793,0
WFR-1061,FAB-BATCH-101,02-08-2026 12:00,,149.9,453.81,11.751,2202,44.93,349.18,24.15,0.0431,12.03,778.97,13.53,45.21,17,1.694,0
WFR-1062,FAB-BATCH-101,02-08-2026 12:28,1.2426,146.64,446.01,13.703,2228.9,46.29,350.3,24.99,0.0341,12.09,775.1,11.93,44.05,16,1.987,0
WFR-1063,FAB-BATCH-101,02-08-2026 12:56,1.2057,139.09,448.88,11.873,2185.4,51.04,353.21,24.53,0.0428,11.06,776.41,11.52,44.07,18,1.74,1
WFR-1064,FAB-BATCH-101,02-08-2026 13:24,1.2022,153.98,443.65,12.654,2295.5,51.4,343.7,24.38,0.0526,11.81,773.78,11.77,46.27,13,2.095,0
WFR-1065,FAB-BATCH-101,02-08-2026 13:52,1.2825,153.32,431.83,13.054,2207.2,50.93,353.65,26.34,0.0581,11.66,775.52,10.77,46.48,16,1.801,0
WFR-1066,FAB-BATCH-101,02-08-2026 14:20,1.3042,148.73,453.86,12.101,2189.1,47.31,347.06,23.35,0.0519,11.67,776.63,12.55,46.18,16,2.063,0
WFR-1067,FAB-BATCH-101,02-08-2026 14:48,1.2471,150.3,471.06,13.097,2166.6,50.58,342.83,25.53,0.0542,12.3,776.66,11.57,46.19,12,1.713,0
WFR-1068,FAB-BATCH-101,02-08-2026 15:16,1.2901,152.32,450.22,11.64,2243.9,49.4,354.59,25.03,0.046,11.57,776.94,13.44,45.85,12,1.953,0
WFR-1069,FAB-BATCH-101,02-08-2026 15:44,1.2645,,452.7,13.516,2234.7,54.75,361.93,24.12,0.056,11.7,774.08,13.27,45.2,11,1.9,0
WFR-1070,FAB-BATCH-101,02-08-2026 16:12,1.2242,147.62,458.31,12.51,2180.1,51.78,355.8,25.8,0.0678,10.96,773.8,14.53,44.74,10,1.934,0
WFR-1071,FAB-BATCH-101,02-08-2026 16:40,1.2645,153.57,434.77,12.083,2223.1,51.33,357.38,23.02,0.0585,11.85,771.01,12.94,46.82,11,1.947,0
WFR-1072,FAB-BATCH-101,02-08-2026 17:08,,144.36,470.43,12.291,2139.7,54.11,345.83,24.08,0.0597,11.46,776.31,13.12,44.44,15,1.8,1
WFR-1073,FAB-BATCH-101,02-08-2026 17:36,1.2486,151.32,452.43,13.066,2207.4,53.32,337.22,23.53,0.0535,12.04,777.71,14.18,45.55,16,1.719,0
WFR-1074,FAB-BATCH-101,02-08-2026 18:04,1.3126,143.9,469.58,12.091,2218.1,58.12,361.92,24.83,0.032,11.52,779.04,11.75,43.79,9,1.845,0
WFR-1075,FAB-BATCH-101,02-08-2026 18:32,1.1452,152.1,441.2,11.975,2268.3,54.23,366.44,23.61,0.0375,12.05,775.76,10.71,44.01,14,1.872,0
WFR-1076,FAB-BATCH-102,02-08-2026 19:00,1.2829,149.84,471.82,12.345,2169.2,12.2,362.34,24.85,0.0555,11.93,773.08,12.74,44.65,14,1.803,0
WFR-1077,FAB-BATCH-102,02-08-2026 19:28,1.2535,142.73,459.3,11.676,2148.9,11.24,347.31,24.35,0.0499,12.84,770.76,10.79,43.79,12,1.878,0
WFR-1078,FAB-BATCH-102,02-08-2026 19:56,1.238,155.24,456.64,13.774,2164.2,16.04,340.76,24.12,0.0553,12.25,777.6,15.44,46.2,13,1.883,0
WFR-1079,FAB-BATCH-102,02-08-2026 20:24,1.2537,146.69,452.81,12.104,2146.5,15.53,341.47,24.81,0.0701,11.08,770.51,14.25,42.98,12,1.759,0
WFR-1080,FAB-BATCH-102,02-08-2026 20:52,1.1705,146.35,447.02,13.082,2253.5,14.34,336.53,24.29,0.0587,11.37,774.15,15.1,45.15,19,1.889,0
WFR-1081,FAB-BATCH-102,02-08-2026 21:20,1.2412,150.9,464.41,12.647,2261.9,20.13,349.14,23.63,0.0651,12.03,774.44,12.57,45.2,21,1.823,0
WFR-1082,FAB-BATCH-102,02-08-2026 21:48,1.2643,155.17,451.68,11.811,2212.8,19.63,362.85,26.74,0.0511,11.54,774.83,13.16,42.28,8,1.78,0
WFR-1083,FAB-BATCH-102,02-08-2026 22:16,1.3091,145.43,426.4,12.496,2248.9,18.79,348.87,24.11,0.0403,10.52,775.09,11.95,44.34,15,1.929,0
WFR-1084,FAB-BATCH-102,02-08-2026 22:44,1.2293,150.28,436.59,13.049,2205.4,22.13,352.42,22.73,0.0493,12.67,775.35,13.56,45.38,16,1.772,0
WFR-1085,FAB-BATCH-102,02-08-2026 23:12,1.2177,151.93,447.77,12.368,2196.2,21.28,361,23.83,0.0403,12.36,768.96,11.04,45.64,17,1.804,0
WFR-1086,FAB-BATCH-102,02-08-2026 23:40,1.2299,,453.72,13.335,2186.7,18.85,346.77,23.49,0.0687,12.26,775.04,9.45,44.69,13,1.857,0
WFR-1087,FAB-BATCH-102,03-08-2026 00:08,1.2866,150.79,449.32,13.215,2187.6,18.97,366.28,25.16,0.0595,11.7,769.43,11.55,46.02,18,1.987,0
WFR-1088,FAB-BATCH-102,03-08-2026 00:36,1.2632,148.35,464.63,13.143,2138.1,23.24,365.94,24.76,0.0562,12.21,776.83,10.75,44.84,15,1.869,0
WFR-1089,FAB-BATCH-102,03-08-2026 01:04,1.2288,146.28,426.59,12.178,2210.6,22.94,348.95,24.82,,11.65,773.61,14.27,45.02,21,1.903,0
WFR-1090,FAB-BATCH-102,03-08-2026 01:32,1.2705,150.39,451.72,11.744,2198.4,23.04,345.38,24.2,0.0258,12.1,769.61,14.68,45.38,6,1.82,0
WFR-1091,FAB-BATCH-102,03-08-2026 02:00,1.2539,145.18,428.18,12.07,2229.8,21.56,355.58,24.28,0.0571,11.54,772.96,10.82,46.39,9,1.842,0
WFR-1092,FAB-BATCH-102,03-08-2026 02:28,1.2887,136.85,459.12,12.637,2203.7,25.02,347.22,24.2,0.0343,12.76,773.57,14.05,43.99,15,1.845,0
WFR-1093,FAB-BATCH-102,03-08-2026 02:56,1.2219,151.96,448.87,12.882,2193.5,22.84,340.75,24.44,0.0499,11.21,777.98,13.64,44.27,11,1.879,0
WFR-1094,FAB-BATCH-102,03-08-2026 03:24,1.2369,154.07,455.04,10.98,2165.2,24.7,360.25,25.17,0.0463,12.62,775.49,10.62,44,13,1.82,0
WFR-1095,FAB-BATCH-102,03-08-2026 03:52,1.2343,139.37,439.63,12.494,2202.9,28.34,359.73,24.77,0.0579,12.02,775.86,12.03,44.5,21,1.984,0
WFR-1096,FAB-BATCH-102,03-08-2026 04:20,1.1915,145.46,465.35,12.611,2229.5,24.68,351.24,24.9,0.0527,11.76,777.95,11.8,47.14,17,1.813,1
WFR-1097,FAB-BATCH-102,03-08-2026 04:48,1.2618,152.79,462.5,12.306,2154.3,23.4,339.9,24.9,0.0661,12.08,774.76,13.4,45.86,7,1.679,0
WFR-1098,FAB-BATCH-102,03-08-2026 05:16,1.2604,159.26,457,13.404,2203.5,24.99,340.16,25.21,0.0428,12.37,776.89,11.03,43.3,21,2.124,0
WFR-1099,FAB-BATCH-102,03-08-2026 05:44,1.2502,150.09,448.45,12.795,2209.3,29.64,350.86,24.73,0.0585,12.68,776.71,12.38,44.1,8,1.817,0
WFR-1100,FAB-BATCH-102,03-08-2026 06:12,1.2406,146.72,456.96,13.417,2171.3,28.71,346,24.79,0.0519,12.16,771.78,11.68,45.56,17,1.981,0
WFR-1101,FAB-BATCH-102,03-08-2026 06:40,1.1934,149.18,441.52,12.349,2176.5,28.49,347.27,25.45,0.0304,11.55,778.68,13.07,43.64,12,1.99,0
WFR-1102,FAB-BATCH-102,03-08-2026 07:08,1.2332,156.19,460.27,13.156,2209.2,28.28,358.18,23.97,0.039,12.03,771.45,12.24,43.91,14,1.945,0
WFR-1103,FAB-BATCH-102,03-08-2026 07:36,1.2363,147.09,469.79,13.645,2154.7,30.82,355.87,23.82,0.0482,12.91,777.29,11.86,47.02,9,1.83,0
WFR-1104,FAB-BATCH-102,03-08-2026 08:04,1.2179,146.4,462.85,13.418,2214,28.7,361.03,23.55,0.0633,12.67,771.21,12.24,44.08,15,1.879,0
WFR-1105,FAB-BATCH-102,03-08-2026 08:32,1.2435,147.83,441.24,11.736,2164.2,31.56,342.08,24.65,0.0556,12.45,776.5,14.94,46.43,19,1.723,0
WFR-1106,FAB-BATCH-102,03-08-2026 09:00,1.2662,145.71,454.34,12.322,2242.5,30.04,347.25,23.02,0.036,12.4,779.65,12,46.88,11,2.049,0
WFR-1107,FAB-BATCH-102,03-08-2026 09:28,1.3254,150.55,434.48,12.258,2293.5,30.25,356.07,24.87,0.0483,12.35,774.47,11.25,43.9,17,1.765,0
WFR-1108,FAB-BATCH-102,03-08-2026 09:56,1.257,157.31,456.87,12.842,2165.6,31.33,353.58,24.41,0.0742,12.58,774.36,13.2,43.67,15,1.825,0
WFR-1109,FAB-BATCH-102,03-08-2026 10:24,1.2603,151.45,455.41,12.98,2221.4,32.4,362.26,25.41,0.0513,11.77,776.53,12.33,44.59,8,1.86,0
WFR-1110,FAB-BATCH-102,03-08-2026 10:52,1.247,148.86,427.56,11.913,2170.9,33.6,353.36,23.96,0.0461,11.32,774.18,10.8,43.37,7,1.839,0
WFR-1111,FAB-BATCH-102,03-08-2026 11:20,1.1732,148.69,436.06,12.547,2241.6,34.72,364.78,24.34,0.0559,12.03,779.55,15.18,45.18,13,1.784,0
WFR-1112,FAB-BATCH-102,03-08-2026 11:48,1.2489,142.97,446.6,11.086,2149.4,27.42,354.32,25.4,0.0592,11.59,775.48,12.08,44.69,15,1.989,0
WFR-1113,FAB-BATCH-102,03-08-2026 12:16,1.2524,153.97,446.39,13.509,2219.2,33.73,358.5,25.61,0.0445,11.47,774.2,12.05,45.54,15,1.945,0
WFR-1114,FAB-BATCH-102,03-08-2026 12:44,1.3485,,435.49,12.141,2165.1,35.12,347.41,23.96,0.056,11.64,773.65,12.69,47.1,24,1.882,0
WFR-1115,FAB-BATCH-102,03-08-2026 13:12,1.2423,149.19,454.67,12.539,2191.7,39.46,350.11,24.65,0.0461,13.24,772.67,14.58,46.23,23,1.81,0
WFR-1116,FAB-BATCH-102,03-08-2026 13:40,1.2621,164.37,453.02,12.283,2158.8,34.84,357.29,24.74,0.0586,12.07,773.43,10.48,45.73,15,1.956,0
WFR-1117,FAB-BATCH-102,03-08-2026 14:08,1.2486,151.34,447.67,13.302,2232.9,37.88,362.9,24.8,0.052,12.18,774.12,12.83,42.05,8,1.804,0
WFR-1118,FAB-BATCH-102,03-08-2026 14:36,1.2033,146.62,440.93,10.514,2166.5,41.09,355.83,24.29,0.0558,11.39,773.78,15,45.67,18,2.007,0
WFR-1119,FAB-BATCH-102,03-08-2026 15:04,1.2957,148.08,462.58,12.488,2222.1,36.02,349.33,25.53,,11.08,773.35,12.65,47.58,16,1.861,0
WFR-1120,FAB-BATCH-102,03-08-2026 15:32,1.2801,155.17,469.86,12.426,2186.2,39.99,361.02,22.99,0.0401,11.59,780.25,11.02,40.48,14,1.973,0
WFR-1121,FAB-BATCH-102,03-08-2026 16:00,1.2816,150.51,444.2,12.182,2195.4,38.15,332.46,24.16,,12.72,772.42,11.76,46.03,20,1.839,0
WFR-1122,FAB-BATCH-102,03-08-2026 16:28,1.2136,143.53,442.65,13.708,2205.9,39.29,338.62,24.86,0.049,12.17,775.37,12.75,44.76,12,1.857,0
WFR-1123,FAB-BATCH-102,03-08-2026 16:56,1.3061,154.14,455.89,11.879,2169.5,39.24,355.45,24.87,0.0534,12.3,776.48,14.1,43.73,24,1.973,0
WFR-1124,FAB-BATCH-102,03-08-2026 17:24,1.1939,146.99,445.7,13.04,2208.4,39.94,350.11,25.58,0.0463,12.37,776.58,12.09,46.2,19,2.069,0
WFR-1125,FAB-BATCH-102,03-08-2026 17:52,1.2735,158.43,448.33,12.749,2261.2,47.39,354.84,25.46,0.0608,11.7,774.85,13.49,47.56,13,2.006,0
WFR-1126,FAB-BATCH-102,03-08-2026 18:20,1.3376,154.86,458.88,13.383,2168.9,44.19,350.52,24.27,0.0427,12.69,774.4,10.78,46.16,17,1.938,0
WFR-1127,FAB-BATCH-102,03-08-2026 18:48,1.2104,147.99,427.09,12.033,2246.9,45.25,354.57,25.54,0.0484,11.68,776.13,10.77,44.44,16,1.909,0
WFR-1128,FAB-BATCH-102,03-08-2026 19:16,1.2273,155.76,465.82,11.987,2259.9,44.58,343.48,23.93,0.0594,12.7,775.67,11.92,43.58,20,1.799,1
WFR-1129,FAB-BATCH-102,03-08-2026 19:44,,150.31,450.87,13.267,2167.4,40.94,354.56,25.24,0.0641,12.22,774.35,14.23,45.22,16,1.88,0
WFR-1130,FAB-BATCH-102,03-08-2026 20:12,1.2299,153.84,445.06,12.798,2141.8,45.49,357.96,25.95,0.0437,11.11,771.1,12.58,46.31,13,1.759,0
WFR-1131,FAB-BATCH-102,03-08-2026 20:40,1.188,152.18,448.93,11.419,2212.1,47.4,359.76,25.47,0.0735,11.63,773.83,12.85,44.42,14,1.888,0
WFR-1132,FAB-BATCH-102,03-08-2026 21:08,1.2527,146.19,449.55,12.122,2178.1,44.09,366.11,24.58,0.0538,11.11,772.13,12.83,44.56,15,1.894,0
WFR-1133,FAB-BATCH-102,03-08-2026 21:36,1.2075,147.1,429.23,12.77,2274.7,48.28,351.95,24.23,0.0375,12.58,773.33,13.83,49.23,16,1.654,0
WFR-1134,FAB-BATCH-102,03-08-2026 22:04,1.2689,154.63,467.94,13.086,2201.4,48.31,352.19,23.28,0.0544,11.99,775.08,11.77,46.62,11,1.854,0
WFR-1135,FAB-BATCH-102,03-08-2026 22:32,1.2132,148.49,450.5,12.025,2167.9,51.15,337.81,24.75,0.0454,10.89,775.9,13.33,46.73,16,1.891,0
WFR-1136,FAB-BATCH-102,03-08-2026 23:00,1.312,148.18,455.32,10.46,2154.1,47.16,345.75,23.61,,12.19,779.45,11.5,42.81,8,1.842,1
WFR-1137,FAB-BATCH-102,03-08-2026 23:28,1.2187,145.7,461.42,12.866,2243.6,46.35,348.46,23.87,0.0495,11.73,773.66,14.88,43.94,21,1.886,0
WFR-1138,FAB-BATCH-102,03-08-2026 23:56,1.2371,151.91,437.75,11.646,2177.2,48.38,358.4,23.55,0.0509,11.26,776.94,11.54,45.11,16,1.716,0
WFR-1139,FAB-BATCH-102,04-08-2026 00:24,1.2825,159.28,455.68,11.088,2201.8,52.52,345.11,24.13,0.0391,12.84,775.76,11.44,43.5,13,1.772,0
WFR-1140,FAB-BATCH-102,04-08-2026 00:52,1.2008,145.2,446.79,10.517,2238.2,46.54,356.37,24.48,0.0619,12.05,778.24,13.16,47.4,15,1.953,0
WFR-1141,FAB-BATCH-102,04-08-2026 01:20,1.2591,150.11,460.16,13.07,2180.6,46.61,349.99,24.72,0.0361,11.85,776.44,12.6,47.12,13,1.85,0
WFR-1142,FAB-BATCH-102,04-08-2026 01:48,1.3023,156.35,424.47,12.59,2198.2,51.48,348.58,24.02,0.0367,11.8,772.48,12.89,44.2,22,1.884,0
WFR-1143,FAB-BATCH-102,04-08-2026 02:16,1.1857,149.64,448.81,12.342,2199.3,50.96,351.99,25.36,0.0544,11.24,770.69,12.77,47.68,15,1.795,0
WFR-1144,FAB-BATCH-102,04-08-2026 02:44,1.2574,152.04,442.77,13.472,2227.3,52.42,346.87,24.33,0.0692,11.35,775.78,11.19,44.99,22,1.852,0
WFR-1145,FAB-BATCH-102,04-08-2026 03:12,1.2604,145.22,455.19,12.946,2223.6,54.84,346.57,23.87,0.0458,12.64,773.68,14.44,48.88,12,1.62,0
WFR-1146,FAB-BATCH-102,04-08-2026 03:40,1.2813,151.93,455.64,13.631,2191.2,52.39,336.36,24.68,0.0584,11.76,772.55,13.57,45.22,16,1.935,0
WFR-1147,FAB-BATCH-102,04-08-2026 04:08,1.2005,149.16,441.51,11.525,2202.5,50.3,348.02,26.07,0.0629,12.01,771.83,14.13,45.86,9,2.031,0
WFR-1148,FAB-BATCH-102,04-08-2026 04:36,1.1972,154.44,441.45,12.476,2185.1,58.69,346.16,24.77,0.0598,10.98,775.4,11.87,47.1,13,1.743,0
